,id,label
0,1234267168763711489,3
1,1234267164229734401,4
2,1234267161855590400,5
3,1234267157724155905,3
4,1234267155941789698,3
5,1234267153211252736,0
6,1234267150367346688,3
7,1234267147548930049,1
8,1234267147188264965,1
9,1234267144185143296,3
10,1234267144042549248,1
11,1234267142893252608,3
12,1234267141131517952,3
13,1234267139403632640,7
14,1234267138686357504,3
15,1234267136668950530,7
16,1234267136052408322,4
17,1234267128573775872,1
18,1234267128523476995,4
19,1234267127898628097,7
20,1234267127147745282,7
21,1234267125767950336,0
22,1234267125059067905,0
23,1234267120969535488,0
24,1234267116724944896,4
25,1234267114841812994,2
26,1234267114686631939,6
27,1234267114346774528,0
28,1234267110043529222,1
29,1234267108214738945,1
30,1234267107262595077,0
31,1234267106532904962,7
32,1234267104381194240,7
33,1234267102644752385,4
34,1234267102225321987,6
35,1234267101344473089,4
36,1234267100245635078,6
37,1234267096722227200,1
38,1234267093195010049,7
39,1234267091110223873,1
40,1234267090598551552,3
41,1234267090061651968,1
42,1234267084076568576,7
43,1234267079488000000,3
44,1234267078246510592,7
45,1234267074580668416,1
46,1234267067832033280,4
47,1234267067714539521,2
48,1234267065755652096,7
49,1234267062886789120,4
50,1234267060965986304,3
51,1234267052694810624,7
52,1234267049968402432,7
53,1234267049897136130,0
54,1234267041688743938,4
55,1234267039172300807,6
56,1234267037314297858,3
57,1234267032062853121,3
58,1234267031815557121,5
59,1234267029751857154,4
60,1234267028761899008,3
61,1234267027180859393,3
62,1234267026992091138,1
63,1234267020344152064,0
64,1234267018238611461,3
65,1234267015348674561,5
66,1234267013335351301,7
67,1234267009765871616,3
68,1234267009027698688,7
69,1234267008239382528,3
70,1234267002618990593,7
71,1234266997522722817,0
72,1234266996730187776,1
73,1234266996545654787,5
74,1234266995098411008,1
75,1234266992250671107,3
76,1234266985212628993,1
77,1234266983698321408,6
78,1234266983551488001,7
79,1234266973300838400,4
80,1234266970427621376,0
81,1234266970029281280,4
82,1234266969307783168,1
83,1234266967944630274,0
84,1234266967361622016,0
85,1234266963204964352,3
86,1234266958742188033,7
87,1234266955407855617,3
88,1234266952597725186,0
89,1234266948705320960,1
90,1234266945748393985,3
91,1234266944477552646,3
92,1234266942330097664,0
93,1234266936416100353,2
94,1234266932674748418,0
95,1234266929344454658,3
96,1234266929210286082,0
97,1234266928941801473,0
98,1234266927926665216,3
99,1234266926299406337,3
100,1234266926031003648,0
101,1234266924906885127,1
102,1234266923170398210,2
103,1234266921521934336,3
104,1234266920171364353,3
105,1234266913770893312,0
106,1234266904317038592,2
107,1234266903469838337,3
108,1234266898826768387,5
109,1234266897744572416,6
110,1234266893348941824,7
111,1234266893013397504,7
112,1234266892048596992,3
113,1234266890869993472,0
114,1234266888353374208,7
115,1234266886746988545,3
116,1234266885425856515,1
117,1234266880459673601,5
118,1234266879050551296,3
119,1234266876370464769,3
120,1234266872188588033,3
121,1234266869449707520,0
122,1234266867604316161,7
123,1234266866253795328,3
124,1234266865108566016,5
125,1234266860918493184,4
126,1234266859387617280,1
127,1234266857890369537,7
128,1234266854518132736,6
129,1234266847979147271,4
130,1234266844674056194,3
131,1234266842283286529,3
132,1234266840768991232,3
133,1234266837715734528,6
134,1234266837472251904,4
135,1234266837141118976,7
136,1234266836658556928,4
137,1234266835245076480,3
138,1234266833278119937,7
139,1234266831768162304,0
140,1234266830807502848,4
141,1234266830530908160,7
142,1234266829591367681,4
143,1234266821814972416,1
144,1234266817746624512,1
145,1234266816102486025,4
146,1234266815292940288,2
147,1234266813984317440,1
148,1234266812445007872,3
149,1234266803938791424,1
150,1234266802303258630,1
151,1234267052694810624,6
152,1234266799069417472,4
153,1234266797886595072,2
154,1234266794044600320,3
155,1234266789825085440,0
156,1234266788973752325,3
157,1234266787337900032,0
